Potato Type,Cooking Oil Type,Cooking Temp,Cooking Time,Taste Rating
Maine,Veg,320,10,8.2
Maine,Veg,320,11,8.4
Maine,Veg,320,12,8.8
Maine,Veg,330,10,9.2
Maine,Veg,330,11,9.4
Maine,Veg,330,12,9.2
Maine,Veg,340,10,9.3
Maine,Veg,340,11,9.5
Maine,Veg,340,12,9.3
Maine,Veg,350,10,9.1
Maine,Veg,350,11,9
Maine,Veg,350,12,8.5
Maine,Lard,320,10,7.89
Maine,Lard,320,11,8.07
Maine,Lard,320,12,8.43
Maine,Lard,330,10,8.87
Maine,Lard,330,11,9.05
Maine,Lard,330,12,8.85
Maine,Lard,340,10,8.96
Maine,Lard,340,11,9.16
Maine,Lard,340,12,8.95
Maine,Lard,350,10,8.7
Maine,Lard,350,11,8.63
Maine,Lard,350,12,8.14
Idaho,Veg,320,10,8.4
Idaho,Veg,320,11,8.22
Idaho,Veg,320,12,8.75
Idaho,Veg,330,10,9.05
Idaho,Veg,330,11,9.61
Idaho,Veg,330,12,9.42
Idaho,Veg,340,10,9.29
Idaho,Veg,340,11,9.43
Idaho,Veg,340,12,9.11
Idaho,Veg,350,10,8.95
Idaho,Veg,350,11,9.03
Idaho,Veg,350,12,8.55
Idaho,Lard,320,10,7.89
Idaho,Lard,320,11,8.01
Idaho,Lard,320,12,8.29
Idaho,Lard,330,10,8.95
Idaho,Lard,330,11,8.83
Idaho,Lard,330,12,8.7
Idaho,Lard,340,10,8.95
Idaho,Lard,340,11,9.3
Idaho,Lard,340,12,8.93
Idaho,Lard,350,10,8.59
Idaho,Lard,350,11,8.51
Idaho,Lard,350,12,7.99
Maine,Veg,320,10,8.25
Maine,Veg,320,11,8.4
Maine,Veg,320,12,8.85
Maine,Veg,330,10,9.1
Maine,Veg,330,11,9.4
Maine,Veg,330,12,9.25
Maine,Veg,340,10,9.3
Maine,Veg,340,11,9.6
Maine,Veg,340,12,9.25
Maine,Veg,350,10,9.05
Maine,Veg,350,11,9
Maine,Veg,350,12,8.6
Maine,Lard,320,10,7.87
Maine,Lard,320,11,8.01
Maine,Lard,320,12,8.45
Maine,Lard,330,10,8.87
Maine,Lard,330,11,9.04
Maine,Lard,330,12,8.84
Maine,Lard,340,10,8.92
Maine,Lard,340,11,9.16
Maine,Lard,340,12,8.95
Maine,Lard,350,10,8.75
Maine,Lard,350,11,8.65
Maine,Lard,350,12,8.19
Idaho,Veg,320,10,8.4
Idaho,Veg,320,11,8.22
Idaho,Veg,320,12,8.75
Idaho,Veg,330,10,9.05
Idaho,Veg,330,11,9.61
Idaho,Veg,330,12,9.42
Idaho,Veg,340,10,9.29
Idaho,Veg,340,11,9.43
Idaho,Veg,340,12,9.11
Idaho,Veg,350,10,8.95
Idaho,Veg,350,11,9.03
Idaho,Veg,350,12,8.55
Idaho,Lard,320,10,7.89
Idaho,Lard,320,11,8.01
Idaho,Lard,320,12,8.29
Idaho,Lard,330,10,8.95
Idaho,Lard,330,11,8.83
Idaho,Lard,330,12,8.7
Idaho,Lard,340,10,8.95
Idaho,Lard,340,11,9.3
Idaho,Lard,340,12,8.93
Idaho,Lard,350,10,8.59
Idaho,Lard,350,11,8.51
Idaho,Lard,350,12,7.99
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
